Options:
Model:                           MultiState
Tree File Name:                  ww_trees.nex
Data File Name:                  ww_gen_sys.txt
Log File Name:                   world_gender_system-RJHPoutput.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1436681863
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      10000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   world_gender_system-RJHPoutput.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          RJ MCMC
    q02                          RJ MCMC
    q03                          RJ MCMC
    q10                          RJ MCMC
    q12                          RJ MCMC
    q13                          RJ MCMC
    q20                          RJ MCMC
    q21                          RJ MCMC
    q23                          RJ MCMC
    q30                          RJ MCMC
    q31                          RJ MCMC
    q32                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - gamma 1.00 1.00 
Tree Information
     Trees:                      902
     Taxa:                       2847
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
3260000	-1207.382832	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.062884	0.000000	0.062884	1.150226	0.062884	1.150226	1.150226	1.150226	0.062884	0.062884	0.062884	0.249952	0.250004	0.250001	0.250042	
3270000	-1206.699702	188	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.060052	0.000000	0.000000	1.299230	0.060052	1.299230	1.299230	1.299230	0.060052	0.060052	0.060052	0.249922	0.250010	0.250001	0.250067	
3280000	-1207.357971	407	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.059504	0.000000	0.000000	1.598687	0.059504	1.598687	1.598687	1.598687	0.059504	0.059504	0.059504	0.250000	0.250000	0.250000	0.250000	
3290000	-1200.171476	407	3	3	'Z 1 Z Z 0 2 0 0 0 2 2 1 	0.000000	0.039114	0.000000	0.000000	0.935335	0.087504	0.935335	0.935335	0.935335	0.087504	0.087504	0.039114	0.249999	0.250000	0.250000	0.250001	
3300000	-1203.851251	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.050173	0.000000	0.050173	1.273206	0.000000	1.273206	1.273206	1.273206	0.050173	0.050173	0.050173	0.249996	0.250000	0.250000	0.250004	
3310000	-1203.995756	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.048941	0.000000	0.048941	1.173616	0.048941	1.173616	1.173616	1.173616	0.048941	0.048941	0.048941	0.249994	0.250000	0.250000	0.250006	
3320000	-1203.634058	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.051307	0.000000	0.051307	1.153991	0.000000	1.153991	1.153991	1.153991	0.051307	0.051307	0.051307	0.249997	0.250000	0.250000	0.250003	
3330000	-1206.274852	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.055264	0.000000	0.055264	1.609853	0.000000	1.609853	1.609853	1.609853	0.055264	0.055264	0.055264	0.249999	0.250000	0.250000	0.250001	
3340000	-1205.026176	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.055932	0.000000	0.055932	1.070993	0.000000	1.070993	1.070993	1.070993	0.055932	0.055932	0.055932	0.249999	0.250000	0.250000	0.250001	
3350000	-1206.367833	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.059451	0.000000	0.059451	1.120656	0.059451	1.120656	1.120656	1.120656	0.059451	0.059451	0.059451	0.249914	0.250008	0.250002	0.250076	
3360000	-1206.913632	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.050609	0.000000	0.000000	1.283733	0.000000	1.283733	1.283733	1.283733	0.050609	0.050609	0.050609	0.249609	0.250030	0.250006	0.250356	
3370000	-1205.330807	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.055306	0.000000	0.055306	0.976199	0.055306	0.976199	0.976199	0.976199	0.055306	0.055306	0.055306	0.249999	0.250000	0.250000	0.250001	
3380000	-1204.740030	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.058974	0.000000	0.058974	1.333452	0.000000	1.333452	1.333452	1.333452	0.058974	0.058974	0.058974	0.250000	0.250000	0.250000	0.250000	
3390000	-1205.623474	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.054881	0.000000	0.054881	1.133168	0.054881	1.133168	1.133168	1.133168	0.054881	0.054881	0.054881	0.249813	0.250016	0.250003	0.250168	
3400000	-1203.656755	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.052146	0.000000	0.052146	1.295278	0.000000	1.295278	1.295278	1.295278	0.052146	0.052146	0.052146	0.249997	0.250000	0.250000	0.250002	
3410000	-1205.728007	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.049555	0.000000	0.049555	1.470673	0.000000	1.470673	1.470673	1.470673	0.049555	0.049555	0.049555	0.249995	0.250000	0.250000	0.250005	
3420000	-1203.979869	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.051729	0.000000	0.051729	1.286928	0.051729	1.286928	1.286928	1.286928	0.051729	0.051729	0.051729	0.249997	0.250000	0.250000	0.250003	
3430000	-1206.296415	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.053593	0.000000	0.000000	1.269534	0.000000	1.269534	1.269534	1.269534	0.053593	0.053593	0.053593	0.249765	0.250020	0.250004	0.250212	
3440000	-1205.862968	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.061629	0.000000	0.061629	1.319262	0.000000	1.319262	1.319262	1.319262	0.061629	0.061629	0.061629	0.250000	0.250000	0.250000	0.250000	
3450000	-1204.060178	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.055168	0.000000	0.055168	1.149839	0.000000	1.149839	1.149839	1.149839	0.055168	0.055168	0.055168	0.249999	0.250000	0.250000	0.250001	
3460000	-1206.540891	407	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.055195	0.000000	0.000000	1.637965	0.000000	1.637965	1.637965	1.637965	0.055195	0.055195	0.055195	0.249999	0.250000	0.250000	0.250001	
3470000	-1205.815094	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.048399	0.000000	0.000000	1.000542	0.048399	1.000542	1.000542	1.000542	0.048399	0.048399	0.048399	0.249993	0.250001	0.250000	0.250006	
3480000	-1203.847295	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.054940	0.000000	0.054940	1.180356	0.000000	1.180356	1.180356	1.180356	0.054940	0.054940	0.054940	0.249999	0.250000	0.250000	0.250001	
3490000	-1204.907089	407	2	4	'Z 0 Z Z 1 Z 1 1 1 0 0 0 	0.000000	0.048689	0.000000	0.000000	1.155944	0.000000	1.155944	1.155944	1.155944	0.048689	0.048689	0.048689	0.249993	0.250001	0.250000	0.250006	
3500000	-1204.864036	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.058903	0.000000	0.058903	1.229723	0.000000	1.229723	1.229723	1.229723	0.058903	0.058903	0.058903	0.250000	0.250000	0.250000	0.250000	
3510000	-1208.580059	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.052748	0.000000	0.052748	0.939855	0.000000	0.939855	0.939855	0.939855	0.052748	0.052748	0.052748	0.249731	0.250013	0.250006	0.250250	
3520000	-1204.607284	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.049822	0.000000	0.000000	1.142892	0.049822	1.142892	1.142892	1.142892	0.049822	0.049822	0.049822	0.249995	0.250001	0.250000	0.250004	
3530000	-1204.458722	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.051301	0.000000	0.051301	1.340096	0.051301	1.340096	1.340096	1.340096	0.051301	0.051301	0.051301	0.249997	0.250000	0.250000	0.250003	
3540000	-1203.545384	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.051645	0.000000	0.051645	1.139050	0.051645	1.139050	1.139050	1.139050	0.051645	0.051645	0.051645	0.249997	0.250000	0.250000	0.250003	
3550000	-1204.092818	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.054162	0.000000	0.054162	1.114450	0.000000	1.114450	1.114450	1.114450	0.054162	0.054162	0.054162	0.249998	0.250000	0.250000	0.250001	
3560000	-1210.121847	483	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.055915	0.000000	0.055915	1.307258	0.055915	1.307258	1.307258	1.307258	0.055915	0.055915	0.055915	0.249966	0.250003	0.250001	0.250031	
3570000	-1205.118944	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.059633	0.000000	0.059633	1.190541	0.059633	1.190541	1.190541	1.190541	0.059633	0.059633	0.059633	0.250000	0.250000	0.250000	0.250000	
3580000	-1205.049648	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.054710	0.000000	0.054710	1.503498	0.000000	1.503498	1.503498	1.503498	0.054710	0.054710	0.054710	0.249999	0.250000	0.250000	0.250001	
3590000	-1204.058013	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.055202	0.000000	0.055202	1.095807	0.055202	1.095807	1.095807	1.095807	0.055202	0.055202	0.055202	0.249999	0.250000	0.250000	0.250001	
3600000	-1205.484300	188	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.054512	0.000000	0.054512	1.220662	0.054512	1.220662	1.220662	1.220662	0.054512	0.054512	0.054512	0.249801	0.250015	0.250003	0.250181	
3610000	-1203.831886	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.055150	0.000000	0.055150	1.195199	0.000000	1.195199	1.195199	1.195199	0.055150	0.055150	0.055150	0.249999	0.250000	0.250000	0.250001	
3620000	-1207.487699	407	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.046601	0.000000	0.000000	1.429920	0.046601	1.429920	1.429920	1.429920	0.046601	0.046601	0.046601	0.249989	0.250001	0.250000	0.250010	
3630000	-1207.186686	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.052472	0.000000	0.052472	1.436041	0.052472	1.436041	1.436041	1.436041	0.052472	0.052472	0.052472	0.249718	0.250018	0.250004	0.250260	
3640000	-1199.039138	407	3	3	'Z 0 Z Z 1 2 1 1 1 0 0 2 	0.000000	0.041628	0.000000	0.000000	1.245921	0.125584	1.245921	1.245921	1.245921	0.041628	0.041628	0.125584	0.249997	0.250001	0.250000	0.250002	
3650000	-1205.196325	407	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.057670	0.000000	0.000000	1.250482	0.057670	1.250482	1.250482	1.250482	0.057670	0.057670	0.057670	0.249999	0.250000	0.250000	0.250001	
3660000	-1203.749769	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.052457	0.000000	0.052457	1.258025	0.052457	1.258025	1.258025	1.258025	0.052457	0.052457	0.052457	0.249997	0.250000	0.250000	0.250002	
3670000	-1204.355687	407	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.050828	0.000000	0.000000	1.279762	0.000000	1.279762	1.279762	1.279762	0.050828	0.050828	0.050828	0.249996	0.250000	0.250000	0.250004	
3680000	-1205.048838	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.057211	0.000000	0.000000	1.320088	0.057211	1.320088	1.320088	1.320088	0.057211	0.057211	0.057211	0.249999	0.250000	0.250000	0.250001	
3690000	-1205.632609	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.059252	0.000000	0.059252	1.434279	0.059252	1.434279	1.434279	1.434279	0.059252	0.059252	0.059252	0.250000	0.250000	0.250000	0.250000	
3700000	-1203.753408	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.050453	0.000000	0.050453	1.079902	0.050453	1.079902	1.079902	1.079902	0.050453	0.050453	0.050453	0.249996	0.250000	0.250000	0.250004	
3710000	-1203.832068	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.052568	0.000000	0.052568	1.063938	0.052568	1.063938	1.063938	1.063938	0.052568	0.052568	0.052568	0.249998	0.250000	0.250000	0.250002	
3720000	-1203.775095	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.050842	0.000000	0.050842	1.068662	0.050842	1.068662	1.068662	1.068662	0.050842	0.050842	0.050842	0.249996	0.250000	0.250000	0.250003	
3730000	-1207.208683	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.062464	0.000000	0.062464	1.548299	0.000000	1.548299	1.548299	1.548299	0.062464	0.062464	0.062464	0.249951	0.250002	0.250001	0.250046	
3740000	-1205.989848	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.053157	0.000000	0.053157	1.077626	0.053157	1.077626	1.077626	1.077626	0.053157	0.053157	0.053157	0.249748	0.250021	0.250004	0.250226	
3750000	-1206.126889	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.060747	0.000000	0.060747	1.308764	0.060747	1.308764	1.308764	1.308764	0.060747	0.060747	0.060747	0.249932	0.250005	0.250001	0.250061	
3760000	-1203.998846	188	3	3	'Z 1 Z 1 2 Z 2 0 0 1 1 1 	0.000000	0.063067	0.000000	0.063067	1.330971	0.000000	1.330971	1.057023	1.057023	0.063067	0.063067	0.063067	0.249947	0.249999	0.249998	0.250056	
3770000	-1208.114438	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.064191	0.000000	0.000000	1.436550	0.064191	1.436550	1.436550	1.436550	0.064191	0.064191	0.064191	0.250000	0.250000	0.250000	0.250000	
3780000	-1203.716612	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.054886	0.000000	0.054886	1.218935	0.000000	1.218935	1.218935	1.218935	0.054886	0.054886	0.054886	0.249999	0.250000	0.250000	0.250001	
3790000	-1204.268764	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.049362	0.000000	0.049362	1.311697	0.000000	1.311697	1.311697	1.311697	0.049362	0.049362	0.049362	0.249995	0.250000	0.250000	0.250005	
3800000	-1203.860154	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.051578	0.000000	0.051578	1.106813	0.000000	1.106813	1.106813	1.106813	0.051578	0.051578	0.051578	0.249997	0.250000	0.250000	0.250003	
3810000	-1198.397879	407	3	3	'Z 0 Z Z 1 2 1 1 1 2 0 2 	0.000000	0.041180	0.000000	0.000000	1.053229	0.076655	1.053229	1.053229	1.053229	0.076655	0.041180	0.076655	0.249999	0.250000	0.250000	0.250001	
3820000	-1203.823963	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.049818	0.000000	0.049818	1.079806	0.049818	1.079806	1.079806	1.079806	0.049818	0.049818	0.049818	0.249995	0.250000	0.250000	0.250004	
3830000	-1203.638214	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.050705	0.000000	0.050705	1.167782	0.000000	1.167782	1.167782	1.167782	0.050705	0.050705	0.050705	0.249996	0.250000	0.250000	0.250004	
3840000	-1205.033791	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.050305	0.000000	0.000000	1.343227	0.050305	1.343227	1.343227	1.343227	0.050305	0.050305	0.050305	0.249995	0.250000	0.250000	0.250004	
3850000	-1207.414234	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.050575	0.000000	0.000000	1.141434	0.000000	1.141434	1.141434	1.141434	0.050575	0.050575	0.050575	0.249606	0.250035	0.250006	0.250353	
3860000	-1205.397674	407	2	4	'Z 0 Z Z 1 Z 1 1 1 0 0 0 	0.000000	0.046761	0.000000	0.000000	1.188017	0.000000	1.188017	1.188017	1.188017	0.046761	0.046761	0.046761	0.249989	0.250001	0.250000	0.250010	
3870000	-1204.290158	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.048664	0.000000	0.048664	1.021818	0.048664	1.021818	1.021818	1.021818	0.048664	0.048664	0.048664	0.249993	0.250001	0.250000	0.250006	
3880000	-1206.360188	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.054095	0.000000	0.054095	1.086219	0.000000	1.086219	1.086219	1.086219	0.054095	0.054095	0.054095	0.249787	0.250009	0.250004	0.250200	
3890000	-1204.133413	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.048361	0.000000	0.048361	1.162027	0.048361	1.162027	1.162027	1.162027	0.048361	0.048361	0.048361	0.249993	0.250001	0.250000	0.250007	
3900000	-1199.414973	407	3	3	'Z 2 Z Z 0 1 0 0 0 2 1 1 	0.000000	0.044145	0.000000	0.000000	1.377047	0.091626	1.377047	1.377047	1.377047	0.044145	0.091626	0.091626	0.249999	0.250000	0.250000	0.250001	
3910000	-1205.434617	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.055614	0.000000	0.055614	1.310152	0.000000	1.310152	1.310152	1.310152	0.055614	0.055614	0.055614	0.249837	0.250006	0.250003	0.250154	
3920000	-1203.584390	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.054064	0.000000	0.054064	1.256423	0.000000	1.256423	1.256423	1.256423	0.054064	0.054064	0.054064	0.249998	0.250000	0.250000	0.250001	
3930000	-1206.638948	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.062621	0.000000	0.062621	1.394825	0.000000	1.394825	1.394825	1.394825	0.062621	0.062621	0.062621	0.249952	0.250002	0.250001	0.250045	
3940000	-1204.942231	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.058466	0.000000	0.058466	1.124570	0.058466	1.124570	1.124570	1.124570	0.058466	0.058466	0.058466	0.249999	0.250000	0.250000	0.250001	
3950000	-1208.031637	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.063828	0.000000	0.000000	1.343417	0.000000	1.343417	1.343417	1.343417	0.063828	0.063828	0.063828	0.249959	0.250004	0.250001	0.250036	
3960000	-1203.805208	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.051738	0.000000	0.051738	1.319100	0.000000	1.319100	1.319100	1.319100	0.051738	0.051738	0.051738	0.249997	0.250000	0.250000	0.250003	
3970000	-1206.362797	188	2	4	'Z 0 Z Z 1 Z 1 1 1 0 0 0 	0.000000	0.056246	0.000000	0.000000	1.460825	0.000000	1.460825	1.460825	1.460825	0.056246	0.056246	0.056246	0.249852	0.250011	0.250002	0.250135	
3980000	-1199.560843	407	3	2	'Z 0 Z 0 1 0 1 2 2 0 0 0 	0.000000	0.056968	0.000000	0.056968	1.318377	0.056968	1.318377	0.888315	0.888315	0.056968	0.056968	0.056968	0.249999	0.250000	0.250000	0.250001	
3990000	-1205.613084	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.052938	0.000000	0.052938	0.920597	0.052938	0.920597	0.920597	0.920597	0.052938	0.052938	0.052938	0.249998	0.250000	0.250000	0.250002	
4000000	-1203.572127	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.053955	0.000000	0.053955	1.250955	0.000000	1.250955	1.250955	1.250955	0.053955	0.053955	0.053955	0.249998	0.250000	0.250000	0.250002	
4010000	-1205.308711	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.046927	0.000000	0.046927	1.004389	0.000000	1.004389	1.004389	1.004389	0.046927	0.046927	0.046927	0.249990	0.250000	0.250000	0.250009	
4020000	-1206.923161	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.049700	0.000000	0.049700	0.838773	0.049700	0.838773	0.838773	0.838773	0.049700	0.049700	0.049700	0.249995	0.250001	0.250000	0.250005	
4030000	-1203.749478	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.050441	0.000000	0.050441	1.136477	0.000000	1.136477	1.136477	1.136477	0.050441	0.050441	0.050441	0.249996	0.250000	0.250000	0.250004	
4040000	-1203.964806	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.056083	0.000000	0.056083	1.324768	0.000000	1.324768	1.324768	1.324768	0.056083	0.056083	0.056083	0.249999	0.250000	0.250000	0.250001	
4050000	-1199.989633	407	3	3	'Z 1 Z Z 2 1 2 0 0 1 1 1 	0.000000	0.051480	0.000000	0.000000	1.312443	0.051480	1.312443	0.982624	0.982624	0.051480	0.051480	0.051480	0.249996	0.250000	0.250000	0.250004	
4060000	-1203.868310	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.049612	0.000000	0.049612	1.243107	0.000000	1.243107	1.243107	1.243107	0.049612	0.049612	0.049612	0.249995	0.250000	0.250000	0.250005	
4070000	-1205.266352	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.053033	0.000000	0.000000	1.428380	0.053033	1.428380	1.428380	1.428380	0.053033	0.053033	0.053033	0.249998	0.250000	0.250000	0.250002	
4080000	-1203.880982	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.055544	0.000000	0.055544	1.325473	0.000000	1.325473	1.325473	1.325473	0.055544	0.055544	0.055544	0.249999	0.250000	0.250000	0.250001	
4090000	-1205.305493	407	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.054005	0.000000	0.000000	1.122188	0.000000	1.122188	1.122188	1.122188	0.054005	0.054005	0.054005	0.249998	0.250000	0.250000	0.250002	
4100000	-1205.117137	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.053249	0.000000	0.053249	1.435267	0.053249	1.435267	1.435267	1.435267	0.053249	0.053249	0.053249	0.249998	0.250000	0.250000	0.250002	
4110000	-1210.946565	242	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.053294	0.000000	0.000000	1.235051	0.000000	1.235051	1.235051	1.235051	0.053294	0.053294	0.053294	0.249971	0.250002	0.250000	0.250026	
4120000	-1205.953800	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.059820	0.000000	0.059820	1.270753	0.000000	1.270753	1.270753	1.270753	0.059820	0.059820	0.059820	0.249922	0.250003	0.250001	0.250074	
4130000	-1208.198341	407	2	2	'Z 0 Z 1 1 0 1 1 1 0 0 0 	0.000000	0.045099	0.000000	0.592784	0.592784	0.045099	0.592784	0.592784	0.592784	0.045099	0.045099	0.045099	0.249992	0.249997	0.250000	0.250011	
4140000	-1210.299719	188	2	3	'Z 0 Z 1 1 Z 1 1 1 0 0 0 	0.000000	0.054782	0.000000	0.904297	0.904297	0.000000	0.904297	0.904297	0.904297	0.054782	0.054782	0.054782	0.249886	0.249946	0.250003	0.250165	
4150000	-1208.109746	407	2	2	'Z 0 Z 1 1 0 1 1 1 0 0 0 	0.000000	0.044510	0.000000	0.623598	0.623598	0.044510	0.623598	0.623598	0.623598	0.044510	0.044510	0.044510	0.249990	0.249996	0.250000	0.250013	
4160000	-1207.419047	407	2	3	'Z 0 Z 1 1 Z 1 1 1 0 0 0 	0.000000	0.048895	0.000000	0.684270	0.684270	0.000000	0.684270	0.684270	0.684270	0.048895	0.048895	0.048895	0.249998	0.249999	0.250000	0.250003	
4170000	-1205.584017	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.055316	0.000000	0.055316	0.960437	0.055316	0.960437	0.960437	0.960437	0.055316	0.055316	0.055316	0.249999	0.250000	0.250000	0.250001	
4180000	-1201.174390	407	3	3	'Z 0 Z 0 2 Z 2 1 1 0 0 0 	0.000000	0.050062	0.000000	0.050062	1.146663	0.000000	1.146663	0.664143	0.664143	0.050062	0.050062	0.050062	0.249995	0.249999	0.249999	0.250006	
4190000	-1206.407448	188	3	2	'Z 0 Z 0 2 0 1 1 2 0 0 0 	0.000000	0.050067	0.000000	0.050067	1.172626	0.050067	1.166338	1.166338	1.172626	0.050067	0.050067	0.050067	0.249576	0.250032	0.250007	0.250385	
4200000	-1207.930697	188	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.062016	0.000000	0.062016	1.571477	0.062016	1.571477	1.571477	1.571477	0.062016	0.062016	0.062016	0.249946	0.250004	0.250001	0.250050	
4210000	-1204.316580	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.056510	0.000000	0.056510	1.111998	0.056510	1.111998	1.111998	1.111998	0.056510	0.056510	0.056510	0.249999	0.250000	0.250000	0.250001	
4220000	-1204.153542	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.053304	0.000000	0.053304	1.089337	0.000000	1.089337	1.089337	1.089337	0.053304	0.053304	0.053304	0.249998	0.250000	0.250000	0.250002	
4230000	-1206.233019	407	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.046924	0.000000	0.000000	1.040323	0.000000	1.040323	1.040323	1.040323	0.046924	0.046924	0.046924	0.249990	0.250001	0.250000	0.250009	
4240000	-1204.397689	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.047549	0.000000	0.047549	1.202617	0.000000	1.202617	1.202617	1.202617	0.047549	0.047549	0.047549	0.249992	0.250000	0.250000	0.250008	
4250000	-1204.053341	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.048869	0.000000	0.048869	1.185209	0.048869	1.185209	1.185209	1.185209	0.048869	0.048869	0.048869	0.249994	0.250000	0.250000	0.250006	
4260000	-1204.636963	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.058111	0.000000	0.058111	1.315759	0.058111	1.315759	1.315759	1.315759	0.058111	0.058111	0.058111	0.249999	0.250000	0.250000	0.250001	
4270000	-1203.742795	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.050743	0.000000	0.050743	1.273256	0.000000	1.273256	1.273256	1.273256	0.050743	0.050743	0.050743	0.249996	0.250000	0.250000	0.250004	
4280000	-1206.331013	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.045931	0.000000	0.045931	0.947101	0.000000	0.947101	0.947101	0.947101	0.045931	0.045931	0.045931	0.249987	0.250001	0.250000	0.250012	
4290000	-1204.251236	407	2	2	'Z 0 Z 0 1 0 1 1 1 0 0 0 	0.000000	0.057366	0.000000	0.057366	1.223518	0.057366	1.223518	1.223518	1.223518	0.057366	0.057366	0.057366	0.249999	0.250000	0.250000	0.250001	
