Default schedule
Rate	71.43
CV	0.00
Kappa	0.00
Delta	0.00
Labda	0.00
Rev Jump	14.29
Prior Change	0.00
Est Data	0.00
Solo Tree Move	0.00
RJ Local Transform Add / Remove	0.00
Local Transform Move	0.00
Local Transform Change Scale	0.00
Local Transform Hyper Prior	0.00
Change Hetero	0.00
Tree Move	14.29
OU	0.00
Gamma	0.00
RJ Dummy Add / Remove	0.00
RJ Dummy Move Node	0.00
RJ Dummy Change Beta	0.00
Fat Tail Ans All	0.00
Fat Tail Ans	0.00
Geo Move All	0.00
Local Rates	0.00
Data Dist	0.00
Time Slice - Time	0.00
Time Slice - Scale	0.00
Global Rate	0.00
GlobalTrend-Change	0.00
Fabric Homo	0.00
Site Power	0.00
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
710	0.309859	148	0.013514	142	0.000000	0.493992	710	0.309859	0.222000	0.224464	
696	0.290230	157	0.025478	147	0.000000	0.493992	696	0.290230	0.206000	0.224444	
702	0.303419	158	0.018987	140	0.000000	0.493992	702	0.303419	0.216000	0.224469	
707	0.339463	143	0.020979	150	0.013333	0.493992	707	0.339463	0.245000	0.224502	
705	0.295035	137	0.036496	158	0.000000	0.493992	705	0.295035	0.213000	0.224536	
706	0.335694	126	0.047619	168	0.005952	0.493992	706	0.335694	0.244000	0.224502	
718	0.325905	143	0.006993	139	0.000000	0.493992	718	0.325905	0.235000	0.224546	
716	0.300279	145	0.034483	139	0.007194	0.493992	716	0.300279	0.221000	0.224599	
702	0.320513	154	0.006494	144	0.006944	0.493992	702	0.320513	0.227000	0.224673	
681	0.327460	144	0.020833	175	0.005714	0.493992	681	0.327460	0.227000	0.224716	
729	0.286694	137	0.058394	134	0.000000	0.493992	729	0.286694	0.217000	0.224674	
736	0.305707	129	0.007752	135	0.014815	0.493992	736	0.305707	0.228000	0.224738	
702	0.293447	153	0.019608	145	0.006897	0.493992	702	0.293447	0.210000	0.224845	
715	0.331469	128	0.039062	157	0.000000	0.493992	715	0.331469	0.242000	0.224907	
696	0.313218	147	0.034014	157	0.000000	0.493992	696	0.313218	0.223000	0.224942	
732	0.327869	132	0.030303	136	0.007353	0.493992	732	0.327869	0.245000	0.224977	
717	0.320781	136	0.044118	147	0.000000	0.493992	717	0.320781	0.236000	0.225025	
726	0.305785	133	0.022556	141	0.000000	0.493992	726	0.305785	0.225000	0.225046	
716	0.321229	143	0.020979	141	0.007092	0.493992	716	0.321229	0.234000	0.225077	
729	0.316872	136	0.022059	135	0.007407	0.493992	729	0.316872	0.235000	0.225136	
721	0.306519	135	0.029630	144	0.006944	0.493992	721	0.306519	0.226000	0.225155	
725	0.337931	139	0.043165	136	0.000000	0.493992	725	0.337931	0.251000	0.225191	
726	0.311295	126	0.023810	148	0.000000	0.493992	726	0.311295	0.229000	0.225237	
716	0.310056	150	0.013333	134	0.000000	0.493992	716	0.310056	0.224000	0.225251	
718	0.292479	142	0.049296	140	0.007143	0.493992	718	0.292479	0.218000	0.225232	
700	0.294286	141	0.049645	159	0.000000	0.493992	700	0.294286	0.213000	0.225222	
727	0.334250	139	0.014388	134	0.000000	0.493992	727	0.334250	0.245000	0.225251	
729	0.322359	132	0.015152	139	0.000000	0.493992	729	0.322359	0.237000	0.225318	
704	0.352273	153	0.039216	143	0.000000	0.493992	704	0.352273	0.254000	0.225304	
706	0.324363	153	0.039216	141	0.000000	0.493992	706	0.324363	0.235000	0.225350	
714	0.347339	142	0.021127	144	0.000000	0.493992	714	0.347339	0.251000	0.225416	
718	0.328691	143	0.000000	139	0.000000	0.493992	718	0.328691	0.236000	0.225437	
737	0.287653	141	0.042553	122	0.008197	0.493992	737	0.287653	0.219000	0.225471	
691	0.305355	174	0.017241	135	0.000000	0.493992	691	0.305355	0.214000	0.225488	
713	0.311360	125	0.000000	162	0.000000	0.493992	713	0.311360	0.222000	0.225515	
723	0.325035	137	0.029197	140	0.000000	0.493992	723	0.325035	0.239000	0.225583	
688	0.337209	150	0.033333	162	0.000000	0.493992	688	0.337209	0.237000	0.225646	
703	0.341394	143	0.000000	154	0.000000	0.493992	703	0.341394	0.240000	0.225602	
710	0.300000	138	0.050725	152	0.000000	0.493992	710	0.300000	0.220000	0.225634	
722	0.286704	130	0.023077	148	0.013514	0.493992	722	0.286704	0.212000	0.225624	
710	0.311268	137	0.051095	153	0.000000	0.493992	710	0.311268	0.228000	0.225648	
688	0.312500	150	0.046667	162	0.006173	0.493992	688	0.312500	0.223000	0.225680	
747	0.315930	137	0.021898	116	0.000000	0.493992	747	0.315930	0.239000	0.225744	
726	0.308540	139	0.035971	135	0.000000	0.493992	726	0.308540	0.229000	0.225781	
740	0.297297	115	0.069565	145	0.006897	0.493992	740	0.297297	0.229000	0.225799	
716	0.343575	151	0.033113	133	0.000000	0.493992	716	0.343575	0.251000	0.225874	
719	0.322670	138	0.028986	143	0.000000	0.493992	719	0.322670	0.236000	0.225926	
743	0.351279	123	0.016260	134	0.000000	0.493992	743	0.351279	0.263000	0.225971	
731	0.341997	143	0.020979	126	0.000000	0.493992	731	0.341997	0.253000	0.225995	
704	0.296875	159	0.031447	137	0.000000	0.493992	704	0.296875	0.214000	0.225969	
714	0.294118	145	0.027586	141	0.000000	0.493992	714	0.294118	0.214000	0.225980	
696	0.317529	145	0.020690	159	0.006289	0.493992	696	0.317529	0.225000	0.226025	
691	0.305355	158	0.012658	151	0.000000	0.493992	691	0.305355	0.213000	0.226052	
704	0.313920	144	0.027778	152	0.006579	0.493992	704	0.313920	0.226000	0.226075	
683	0.351391	162	0.012346	155	0.000000	0.493992	683	0.351391	0.242000	0.226122	
710	0.318310	148	0.020270	142	0.000000	0.493992	710	0.318310	0.229000	0.226182	
719	0.282337	144	0.034722	137	0.007299	0.493992	719	0.282337	0.209000	0.226218	
698	0.328080	160	0.018750	142	0.000000	0.493992	698	0.328080	0.232000	0.226260	
693	0.356421	155	0.032258	152	0.000000	0.493992	693	0.356421	0.252000	0.226276	
726	0.307163	133	0.015038	141	0.000000	0.493992	726	0.307163	0.225000	0.226300	
718	0.314763	128	0.007812	154	0.012987	0.493992	718	0.314763	0.229000	0.226302	
719	0.321280	142	0.014085	139	0.000000	0.493992	719	0.321280	0.233000	0.226321	
728	0.329670	130	0.038462	142	0.000000	0.493992	728	0.329670	0.245000	0.226362	
696	0.337644	155	0.012903	149	0.006711	0.493992	696	0.337644	0.238000	0.226388	
694	0.319885	144	0.006944	162	0.000000	0.493992	694	0.319885	0.223000	0.226405	
707	0.302687	148	0.027027	145	0.000000	0.493992	707	0.302687	0.218000	0.226412	
720	0.348611	127	0.039370	153	0.000000	0.493992	720	0.348611	0.256000	0.226455	
711	0.330520	142	0.021127	147	0.000000	0.493992	711	0.330520	0.238000	0.226506	
722	0.321330	129	0.015504	149	0.000000	0.493992	722	0.321330	0.234000	0.226523	
719	0.300417	138	0.021739	143	0.000000	0.493992	719	0.300417	0.219000	0.226500	
685	0.306569	152	0.052632	163	0.000000	0.493992	685	0.306569	0.218000	0.226532	
714	0.358543	155	0.012903	131	0.000000	0.493992	714	0.358543	0.258000	0.226546	
728	0.302198	139	0.014388	133	0.000000	0.493992	728	0.302198	0.222000	0.226543	
732	0.330601	137	0.036496	131	0.000000	0.493992	732	0.330601	0.247000	0.226591	
689	0.317852	150	0.026667	161	0.000000	0.493992	689	0.317852	0.223000	0.226590	
723	0.325035	140	0.007143	137	0.000000	0.493992	723	0.325035	0.236000	0.226656	
727	0.305365	144	0.013889	129	0.000000	0.493992	727	0.305365	0.224000	0.226648	
718	0.334262	140	0.014286	142	0.000000	0.493992	718	0.334262	0.242000	0.226654	
726	0.318182	143	0.013986	131	0.000000	0.493992	726	0.318182	0.233000	0.226661	
727	0.327373	147	0.020408	126	0.015873	0.493992	727	0.327373	0.243000	0.226670	
694	0.306916	169	0.023669	137	0.014599	0.493992	694	0.306916	0.219000	0.226665	
710	0.345070	151	0.006623	139	0.000000	0.493992	710	0.345070	0.246000	0.226674	
703	0.302987	155	0.025806	142	0.000000	0.493992	703	0.302987	0.217000	0.226673	
704	0.365057	129	0.015504	167	0.000000	0.493992	704	0.365057	0.259000	0.226725	
700	0.310000	157	0.025478	143	0.000000	0.493992	700	0.310000	0.221000	0.226721	
718	0.318942	134	0.007463	148	0.000000	0.493992	718	0.318942	0.230000	0.226746	
723	0.294606	139	0.050360	138	0.007246	0.493992	723	0.294606	0.221000	0.226713	
713	0.316971	156	0.025641	131	0.007634	0.493992	713	0.316971	0.231000	0.226758	
729	0.285322	141	0.021277	130	0.000000	0.493992	729	0.285322	0.211000	0.226759	
723	0.291840	127	0.007874	150	0.000000	0.493992	723	0.291840	0.212000	0.226747	
728	0.302198	116	0.000000	156	0.000000	0.493992	728	0.302198	0.220000	0.226764	
713	0.323983	139	0.021583	148	0.000000	0.493992	713	0.323983	0.234000	0.226817	
709	0.308886	142	0.042254	149	0.000000	0.493992	709	0.308886	0.225000	0.226822	
707	0.319661	134	0.007463	159	0.000000	0.493992	707	0.319661	0.227000	0.226856	
