Default schedule
Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
727	0.269601	125	0.016000	148	0.000000	0.523429	727	0.269601	0.198000	0.202245	
721	0.257975	130	0.000000	149	0.000000	0.523429	721	0.257975	0.186000	0.202234	
720	0.244444	130	0.038462	150	0.000000	0.523429	720	0.244444	0.181000	0.202255	
700	0.240000	119	0.033613	181	0.005525	0.523429	700	0.240000	0.173000	0.202266	
702	0.229345	127	0.023622	171	0.000000	0.523429	702	0.229345	0.164000	0.202262	
712	0.278090	147	0.040816	141	0.000000	0.523429	712	0.278090	0.204000	0.202237	
710	0.281690	141	0.028369	149	0.013423	0.523429	710	0.281690	0.206000	0.202239	
747	0.275770	126	0.023810	127	0.000000	0.523429	747	0.275770	0.209000	0.202271	
707	0.305516	148	0.027027	145	0.006897	0.523429	707	0.305516	0.221000	0.202285	
729	0.270233	129	0.007752	142	0.000000	0.523429	729	0.270233	0.198000	0.202270	
730	0.287671	133	0.022556	137	0.000000	0.523429	730	0.287671	0.213000	0.202223	
733	0.245566	125	0.008000	142	0.000000	0.523429	733	0.245566	0.181000	0.202152	
739	0.281461	149	0.026846	112	0.000000	0.523429	739	0.281461	0.212000	0.202098	
698	0.270774	146	0.000000	156	0.000000	0.523429	698	0.270774	0.189000	0.202035	
705	0.276596	148	0.000000	147	0.000000	0.523429	705	0.276596	0.195000	0.201982	
730	0.301370	116	0.034483	154	0.000000	0.523429	730	0.301370	0.224000	0.202012	
746	0.288204	133	0.000000	121	0.000000	0.523429	746	0.288204	0.215000	0.202034	
716	0.269553	143	0.006993	141	0.000000	0.523429	716	0.269553	0.194000	0.202007	
724	0.298343	142	0.042254	134	0.000000	0.523429	724	0.298343	0.222000	0.202065	
716	0.269553	128	0.015625	156	0.000000	0.523429	716	0.269553	0.195000	0.202042	
709	0.299013	131	0.022901	160	0.000000	0.523429	709	0.299013	0.215000	0.202046	
735	0.246259	129	0.023256	136	0.007353	0.523429	735	0.246259	0.185000	0.202009	
707	0.282885	142	0.042254	151	0.000000	0.523429	707	0.282885	0.206000	0.202034	
685	0.327007	161	0.024845	154	0.000000	0.523429	685	0.327007	0.228000	0.202053	
750	0.274667	119	0.033613	131	0.000000	0.523429	750	0.274667	0.210000	0.201996	
701	0.263909	149	0.006711	150	0.000000	0.523429	701	0.263909	0.186000	0.201989	
736	0.254076	121	0.000000	143	0.000000	0.523429	736	0.254076	0.187000	0.201957	
738	0.310298	131	0.045802	131	0.000000	0.523429	738	0.310298	0.235000	0.201976	
717	0.290098	141	0.042553	142	0.000000	0.523429	717	0.290098	0.214000	0.201968	
711	0.275668	153	0.026144	136	0.000000	0.523429	711	0.275668	0.200000	0.201940	
745	0.232215	107	0.028037	148	0.000000	0.523429	745	0.232215	0.176000	0.201900	
715	0.275524	159	0.025157	126	0.000000	0.523429	715	0.275524	0.201000	0.201868	
729	0.282579	110	0.036364	161	0.000000	0.523429	729	0.282579	0.210000	0.201890	
721	0.269071	124	0.056452	155	0.000000	0.523429	721	0.269071	0.201000	0.201870	
725	0.245517	144	0.000000	131	0.007634	0.523429	725	0.245517	0.179000	0.201846	
726	0.274105	129	0.015504	145	0.000000	0.523429	726	0.274105	0.201000	0.201825	
709	0.310296	121	0.008264	170	0.000000	0.523429	709	0.310296	0.221000	0.201838	
707	0.282885	137	0.029197	156	0.000000	0.523429	707	0.282885	0.204000	0.201883	
725	0.310345	122	0.049180	153	0.006536	0.523429	725	0.310345	0.232000	0.201957	
718	0.254875	142	0.021127	140	0.000000	0.523429	718	0.254875	0.186000	0.201976	
708	0.282486	117	0.008547	175	0.000000	0.523429	708	0.282486	0.201000	0.201975	
699	0.250358	146	0.020548	155	0.000000	0.523429	699	0.250358	0.178000	0.201960	
692	0.281792	140	0.028571	168	0.000000	0.523429	692	0.281792	0.199000	0.201937	
715	0.323077	140	0.021429	145	0.000000	0.523429	715	0.323077	0.234000	0.201951	
725	0.245517	120	0.008333	155	0.000000	0.523429	725	0.245517	0.179000	0.201934	
736	0.298913	125	0.040000	139	0.000000	0.523429	736	0.298913	0.225000	0.201975	
710	0.253521	145	0.041379	145	0.000000	0.523429	710	0.253521	0.186000	0.201957	
734	0.269755	135	0.014815	131	0.000000	0.523429	734	0.269755	0.200000	0.201969	
719	0.286509	138	0.021739	143	0.013986	0.523429	719	0.286509	0.211000	0.201960	
737	0.267300	108	0.027778	155	0.000000	0.523429	737	0.267300	0.200000	0.201960	
736	0.285326	125	0.000000	139	0.000000	0.523429	736	0.285326	0.210000	0.201952	
689	0.246734	140	0.028571	171	0.000000	0.523429	689	0.246734	0.174000	0.201945	
699	0.284692	148	0.013514	153	0.000000	0.523429	699	0.284692	0.201000	0.201943	
700	0.272857	142	0.028169	158	0.006329	0.523429	700	0.272857	0.196000	0.201944	
702	0.264957	139	0.000000	159	0.000000	0.523429	702	0.264957	0.186000	0.201953	
730	0.312329	122	0.016393	148	0.006757	0.523429	730	0.312329	0.231000	0.201986	
708	0.300847	137	0.021898	155	0.000000	0.523429	708	0.300847	0.216000	0.201978	
712	0.268258	154	0.012987	134	0.000000	0.523429	712	0.268258	0.193000	0.201963	
693	0.262626	163	0.018405	144	0.000000	0.523429	693	0.262626	0.185000	0.201935	
707	0.291372	137	0.014599	156	0.000000	0.523429	707	0.291372	0.208000	0.201962	
743	0.263795	114	0.026316	143	0.000000	0.523429	743	0.263795	0.199000	0.201989	
719	0.303199	119	0.000000	162	0.000000	0.523429	719	0.303199	0.218000	0.202052	
714	0.261905	131	0.015267	155	0.012903	0.523429	714	0.261905	0.191000	0.202071	
706	0.264873	127	0.007874	167	0.000000	0.523429	706	0.264873	0.188000	0.202053	
729	0.249657	134	0.044776	137	0.007299	0.523429	729	0.249657	0.189000	0.202041	
695	0.253237	138	0.021739	167	0.005988	0.523429	695	0.253237	0.180000	0.202060	
721	0.282940	144	0.013889	135	0.000000	0.523429	721	0.282940	0.206000	0.202076	
701	0.292439	140	0.021429	159	0.006289	0.523429	701	0.292439	0.209000	0.202121	
706	0.307365	132	0.007576	162	0.000000	0.523429	706	0.307365	0.218000	0.202141	
742	0.226415	120	0.008333	138	0.000000	0.523429	742	0.226415	0.169000	0.202126	
716	0.263966	134	0.029851	150	0.000000	0.523429	716	0.263966	0.193000	0.202109	
723	0.294606	131	0.015267	146	0.013699	0.523429	723	0.294606	0.217000	0.202137	
720	0.270833	129	0.000000	151	0.000000	0.523429	720	0.270833	0.195000	0.202156	
782	0.255754	111	0.000000	107	0.000000	0.523429	782	0.255754	0.200000	0.202147	
708	0.272599	140	0.028571	152	0.000000	0.523429	708	0.272599	0.197000	0.202150	
671	0.272727	186	0.026882	143	0.020979	0.523429	671	0.272727	0.191000	0.202144	
711	0.236287	149	0.006711	140	0.000000	0.523429	711	0.236287	0.169000	0.202121	
722	0.278393	144	0.027778	134	0.000000	0.523429	722	0.278393	0.205000	0.202138	
707	0.260255	136	0.029412	157	0.000000	0.523429	707	0.260255	0.188000	0.202103	
760	0.286842	122	0.024590	118	0.000000	0.523429	760	0.286842	0.221000	0.202111	
705	0.234043	144	0.013889	151	0.000000	0.523429	705	0.234043	0.167000	0.202089	
701	0.255350	145	0.020690	154	0.000000	0.523429	701	0.255350	0.182000	0.202053	
721	0.267684	130	0.053846	149	0.000000	0.523429	721	0.267684	0.200000	0.202034	
694	0.266571	132	0.060606	174	0.000000	0.523429	694	0.266571	0.193000	0.202045	
707	0.292786	153	0.019608	140	0.000000	0.523429	707	0.292786	0.210000	0.202062	
735	0.318367	119	0.016807	146	0.000000	0.523429	735	0.318367	0.236000	0.202071	
724	0.256906	124	0.032258	152	0.000000	0.523429	724	0.256906	0.190000	0.202067	
698	0.244986	132	0.022727	170	0.000000	0.523429	698	0.244986	0.174000	0.202033	
756	0.284392	121	0.008264	123	0.000000	0.523429	756	0.284392	0.216000	0.202088	
732	0.267760	122	0.040984	146	0.000000	0.523429	732	0.267760	0.201000	0.202111	
726	0.292011	150	0.013333	124	0.000000	0.523429	726	0.292011	0.214000	0.202119	
707	0.264498	132	0.030303	161	0.000000	0.523429	707	0.264498	0.191000	0.202136	
729	0.259259	120	0.033333	151	0.013245	0.523429	729	0.259259	0.195000	0.202146	
728	0.284341	138	0.050725	134	0.000000	0.523429	728	0.284341	0.214000	0.202139	
716	0.261173	115	0.043478	169	0.000000	0.523429	716	0.261173	0.192000	0.202161	
719	0.283727	143	0.013986	138	0.000000	0.523429	719	0.283727	0.206000	0.202125	
725	0.318621	112	0.035714	163	0.000000	0.523429	725	0.318621	0.235000	0.202132	
748	0.270053	134	0.029851	118	0.000000	0.523429	748	0.270053	0.206000	0.202156	
712	0.268258	138	0.028986	150	0.000000	0.523429	712	0.268258	0.195000	0.202139	
726	0.312672	134	0.007463	140	0.007143	0.523429	726	0.312672	0.229000	0.202143	
708	0.248588	121	0.049587	171	0.000000	0.523429	708	0.248588	0.182000	0.202140	
702	0.259259	150	0.046667	148	0.000000	0.523429	702	0.259259	0.189000	0.202130	
734	0.284741	133	0.030075	133	0.000000	0.523429	734	0.284741	0.213000	0.202111	
726	0.265840	138	0.014493	136	0.000000	0.523429	726	0.265840	0.195000	0.202101	
688	0.280523	153	0.039216	159	0.000000	0.523429	688	0.280523	0.199000	0.202128	
725	0.284138	136	0.000000	139	0.000000	0.523429	725	0.284138	0.206000	0.202148	
727	0.246217	143	0.013986	130	0.023077	0.523429	727	0.246217	0.184000	0.202142	
712	0.280899	135	0.037037	153	0.000000	0.523429	712	0.280899	0.205000	0.202114	
737	0.283582	128	0.023438	135	0.000000	0.523429	737	0.283582	0.212000	0.202130	
703	0.285917	149	0.026846	148	0.006757	0.523429	703	0.285917	0.206000	0.202177	
720	0.297222	143	0.027972	137	0.000000	0.523429	720	0.297222	0.218000	0.202211	
730	0.284932	137	0.029197	133	0.000000	0.523429	730	0.284932	0.212000	0.202224	
738	0.294038	124	0.016129	138	0.000000	0.523429	738	0.294038	0.219000	0.202228	
719	0.276773	127	0.039370	154	0.000000	0.523429	719	0.276773	0.204000	0.202227	
738	0.262873	135	0.066667	127	0.007874	0.523429	738	0.262873	0.204000	0.202221	
731	0.246238	119	0.025210	150	0.006667	0.523429	731	0.246238	0.184000	0.202221	
727	0.253095	134	0.022388	139	0.000000	0.523429	727	0.253095	0.187000	0.202210	
714	0.292717	143	0.027972	143	0.000000	0.523429	714	0.292717	0.213000	0.202207	
746	0.289544	127	0.031496	127	0.000000	0.523429	746	0.289544	0.220000	0.202197	
